source,target,value
Topic0,java,0.026
Topic0,maven,0.022
Topic0,file,0.020
Topic0,test,0.015
Topic0,instal,0.014
Topic0,project,0.014
Topic0,work,0.012
Topic0,version,0.012
Topic1,maven,0.026
Topic1,project,0.026
Topic1,jar,0.023
Topic1,run,0.022
Topic1,dependency,0.022
Topic1,class,0.019
Topic2,maven,0.037
Topic2,project,0.025
Topic2,dependency,0.023
Topic2,run,0.022
Topic2,file,0.015
Topic2,java,0.015
Topic2,test,0.014
Topic3,project,0.040
Topic3,maven,0.036
Topic3,jar,0.021
Topic3,dependency,0.021
Topic3,module,0.021
Topic3,file,0.020
Topic3,create,0.013
Topic3,java,0.012
Topic3,build,0.011
Topic4,jar,0.043
Topic4,run,0.032
Topic4,file,0.031
Topic4,project,0.030
Topic4,maven,0.019
Topic4,dependency,0.016
Topic4,build,0.015
Topic4,work,0.014
Topic5,file,0.037
Topic5,project,0.033
Topic5,maven,0.032
Topic5,dependency,0.018
Topic5,java,0.012
Topic5,error,0.012
Topic6,pom,0.028
Topic6,maven,0.019
Topic6,run,0.019
Topic6,dependency,0.015
Topic6,build,0.014
Topic6,jar,0.013
Topic7,maven,0.030
Topic7,project,0.023
Topic7,file,0.017
Topic7,build,0.012
Topic7,plugin,0.011
Topic8,project,0.038
Topic8,file,0.031
Topic8,pom,0.014
Topic8,maven,0.014
Topic8,java,0.013
Topic8,class,0.011
Topic8,resource,0.010
Topic9,maven,0.030
Topic9,module,0.023
Topic9,file,0.021
Topic9,class,0.018
Topic9,project,0.018
Topic9,work,0.016
Topic9,run,0.015
Topic10,project,0.035
Topic10,maven,0.027
Topic10,run,0.019
Topic10,dependency,0.019
Topic10,error,0.019
Topic10,work,0.015
Topic10,file,0.015
Topic10,add,0.012
Topic11,maven,0.038
Topic11,project,0.036
Topic11,class,0.031
Topic11,file,0.023
Topic11,test,0.021
Topic11,run,0.015
Topic12,maven,0.031
Topic12,run,0.019
Topic12,command,0.017
Topic12,error,0.016
Topic12,work,0.015
Topic12,jar,0.014
Topic12,java,0.011
Topic13,maven,0.028
Topic13,project,0.026
Topic13,run,0.023
Topic13,test,0.022
Topic13,module,0.012
Topic13,file,0.012
Topic13,class,0.012
Topic14,maven,0.048
Topic14,run,0.025
Topic14,project,0.021
Topic14,error,0.019
Topic14,test,0.019
Topic14,file,0.014
Topic14,build,0.013
Topic15,dependency,0.049
Topic15,project,0.042
Topic15,maven,0.039
Topic15,file,0.024
Topic15,jar,0.015
Topic15,run,0.015
Topic15,work,0.013
Topic16,project,0.029
Topic16,dependency,0.026
Topic16,jar,0.025
Topic16,maven,0.018
Topic16,file,0.018
Topic16,class,0.014
Topic16,create,0.012
Topic17,project,0.035
Topic17,run,0.027
Topic17,java,0.022
Topic17,maven,0.020
Topic17,jar,0.020
Topic17,class,0.019
Topic17,build,0.017
Topic17,work,0.012
Topic18,maven,0.051
Topic18,project,0.050
Topic18,jar,0.016
Topic18,run,0.012
Topic18,file,0.012
Topic18,problem,0.011
Topic18,application,0.011
Topic19,project,0.031
Topic19,maven,0.026
Topic19,jar,0.023
Topic19,run,0.021
Topic19,build,0.018
Topic19,work,0.015
Topic19,file,0.013
Topic20,maven,0.029
Topic20,project,0.017
Topic20,java,0.015
Topic20,class,0.015
Topic20,run,0.013
Topic20,error,0.012
Topic20,file,0.012
Topic21,maven,0.027
Topic21,file,0.017
Topic21,class,0.016
Topic21,project,0.015
Topic21,plugin,0.014
Topic21,java,0.014
Topic22,project,0.047
Topic22,maven,0.033
Topic22,java,0.018
Topic22,file,0.013
Topic22,create,0.012
Topic22,library,0.011
Topic23,maven,0.017
Topic23,work,0.016
Topic23,line,0.015
Topic23,directory,0.013
Topic23,run,0.011
Topic23,amp,0.010
Topic24,error,0.041
Topic24,project,0.022
Topic24,file,0.017
Topic24,maven,0.016
Topic24,java,0.014
Topic24,dependency,0.014
Topic24,build,0.013
Topic25,maven,0.031
Topic25,run,0.023
Topic25,java,0.019
Topic25,project,0.018
Topic25,class,0.018
Topic25,error,0.018
Topic25,file,0.013
Topic25,command,0.013
Topic25,generate,0.013
Topic26,test,0.057
Topic26,run,0.042
Topic26,maven,0.029
Topic26,project,0.020
Topic26,work,0.012
Topic26,java,0.009
Topic27,project,0.019
Topic27,maven,0.018
Topic27,class,0.015
Topic27,dependency,0.014
Topic27,file,0.013
Topic27,type,0.013
Topic27,work,0.013
Topic28,file,0.056
Topic28,project,0.017
Topic28,maven,0.016
Topic28,application,0.012
Topic28,run,0.012
Topic28,java,0.011
Topic29,jar,0.035
Topic29,maven,0.031
Topic29,file,0.030
Topic29,class,0.029
Topic29,project,0.026
Topic29,run,0.023
Topic29,dependency,0.023
Topic29,test,0.023
Topic29,version,0.011
Topic30,file,0.031
Topic30,version,0.028
Topic30,dependency,0.025
Topic30,maven,0.025
Topic30,module,0.024
Topic30,project,0.022
Topic30,build,0.015
Topic30,error,0.012
Topic31,file,0.036
Topic31,maven,0.034
Topic31,project,0.016
Topic31,dependency,0.014
Topic31,create,0.012
Topic31,module,0.012
Topic32,maven,0.032
Topic32,java,0.028
Topic32,file,0.021
Topic32,run,0.020
Topic32,build,0.014
Topic32,class,0.012
Topic32,test,0.012
Topic33,maven,0.063
Topic33,project,0.037
Topic33,file,0.027
Topic33,java,0.019
Topic33,work,0.014
Topic33,dependency,0.014
Topic33,error,0.013
Topic33,plugin,0.012
Topic34,project,0.024
Topic34,maven,0.021
Topic34,jar,0.013
Topic35,jar,0.038
Topic35,project,0.033
Topic35,maven,0.024
Topic35,dependency,0.016
Topic35,package,0.014
Topic35,error,0.014
Topic35,pom,0.012
Topic35,build,0.011
Topic36,maven,0.035
Topic36,file,0.035
Topic36,jar,0.022
Topic36,project,0.022
Topic36,version,0.020
Topic36,java,0.019
Topic36,run,0.013
Topic37,project,0.040
Topic37,work,0.024
Topic37,maven,0.023
Topic37,add,0.020
Topic37,dependency,0.019
Topic37,run,0.013
Topic37,build,0.012
Topic37,error,0.012
Topic37,class,0.011
Topic38,dependency,0.027
Topic38,error,0.026
Topic38,project,0.016
Topic38,run,0.016
Topic38,deploy,0.015
Topic38,work,0.014
Topic39,maven,0.024
Topic39,run,0.023
Topic39,work,0.019
Topic39,project,0.019
Topic39,add,0.015
Topic39,module,0.014
Topic40,file,0.038
Topic40,error,0.024
Topic40,maven,0.024
Topic40,project,0.020
Topic40,run,0.018
Topic40,work,0.016
Topic41,maven,0.015
Topic41,error,0.015
Topic41,run,0.012
Topic41,java,0.011
Topic41,project,0.010
Topic42,file,0.029
Topic42,project,0.026
Topic42,build,0.022
Topic42,maven,0.019
Topic42,pom,0.015
Topic42,jar,0.015
Topic42,dependency,0.013
Topic43,project,0.044
Topic43,maven,0.031
Topic43,library,0.024
Topic43,java,0.016
Topic43,file,0.015
Topic43,run,0.015
Topic43,work,0.014
Topic43,error,0.012
Topic43,build,0.011
Topic44,maven,0.021
Topic44,project,0.021
Topic44,run,0.016
Topic44,file,0.015
Topic44,work,0.015
Topic44,folder,0.013
Topic44,class,0.013
Topic45,project,0.035
Topic45,maven,0.025
Topic45,file,0.022
Topic45,error,0.017
Topic45,work,0.015
Topic46,test,0.060
Topic46,project,0.033
Topic46,maven,0.025
Topic46,run,0.018
Topic46,file,0.014
Topic46,dependency,0.014
Topic46,jar,0.012
Topic46,work,0.012
Topic47,maven,0.021
Topic47,error,0.020
Topic47,project,0.020
Topic47,version,0.018
Topic47,dependency,0.015
Topic48,file,0.046
Topic48,maven,0.028
Topic48,project,0.025
Topic48,jar,0.021
Topic48,run,0.018
Topic48,plugin,0.017
Topic48,build,0.015
Topic48,create,0.014
Topic49,jar,0.016
Topic49,info,0.014
Topic49,debug,0.013
Topic49,maven,0.012
